ts_ms,year,mon,day,hr,min,sec,lat,lon,speed,alt,temp_c,pressure_pa,humidity_pct,voc_ohm,noise_energy,sweat_level,accel_freq,accel_ampl,accel_energy,accel_dir
346100,2025,5,22,21,10,56,45.79226,15.95847,0.00,189.60,2677,99454,41473,598151,108,4095,244.87,37687.80,709288140800,0
348100,2025,5,22,21,10,58,45.79226,15.95847,0.00,189.60,2678,99448,41440,597084,54,4095,244.87,37687.80,709288140800,0
349110,2025,5,22,21,10,59,45.79226,15.95847,0.00,189.60,2681,99456,41405,598151,454,4095,244.63,35761.32,695105390592,0
350130,2025,5,22,21,11,0,45.79226,15.95847,0.00,189.60,2682,99452,41363,594432,75,4095,244.63,35761.32,695105390592,0
351160,2025,5,22,21,11,1,45.79226,15.95847,0.00,189.60,2684,99456,41319,595490,84,4095,244.63,35761.32,695105390592,0
352140,2025,5,22,21,11,2,45.79226,15.95847,0.00,189.60,2684,99456,41319,595490,38,4095,244.63,35761.32,695105390592,0
353110,2025,5,22,21,11,3,45.79226,15.95847,0.00,189.60,2683,99448,41278,592853,98,4095,244.63,35761.32,695105390592,0
354130,2025,5,22,21,11,4,45.79226,15.95847,0.00,189.60,2687,99454,41256,592328,156,4095,244.63,35761.32,695105390592,0
355150,2025,5,22,21,11,5,45.79226,15.95847,0.00,189.60,2687,99452,41228,592328,547,4095,244.63,35761.32,695105390592,0
356110,2025,5,22,21,11,6,45.79226,15.95847,0.00,189.60,2688,99452,41208,593378,243,4095,244.63,35761.32,695105390592,0
357140,2025,5,22,21,11,7,45.79226,15.95847,0.00,189.60,2689,99454,41167,593905,559,4095,244.63,35761.32,695105390592,0
358110,2025,5,22,21,11,8,45.79226,15.95847,0.00,189.60,2689,99454,41167,593905,931,4095,244.63,35761.32,695105390592,0
359130,2025,5,22,21,11,9,45.79226,15.95847,0.00,189.60,2690,99454,41128,593905,2467,4095,244.63,35761.32,695105390592,0
360090,2025,5,22,21,11,10,45.79226,15.95847,0.00,189.60,2688,99452,41085,595490,1433,4095,244.63,35761.32,695105390592,0
361130,2025,5,22,21,11,11,45.79226,15.95847,0.00,189.60,2689,99452,40967,597084,1039,4095,249.27,74828.05,753009920000,0
362110,2025,5,22,21,11,12,45.79226,15.95847,0.93,189.60,2686,99452,40853,597617,6372,4095,249.27,74828.05,753009920000,0
363130,2025,5,22,21,11,13,45.79229,15.95846,1.26,189.80,2685,99454,40793,601916,1522,4095,249.27,74828.05,753009920000,0
364110,2025,5,22,21,11,14,45.79230,15.95845,1.39,189.90,2685,99454,40793,601916,34874,4095,249.27,74828.05,753009920000,0
365140,2025,5,22,21,11,15,45.79232,15.95846,1.73,189.90,2683,99452,40734,606827,2744,4095,249.27,74828.05,753009920000,0
366130,2025,5,22,21,11,16,45.79234,15.95846,1.64,189.90,2676,99448,40647,606827,2383,4095,249.27,74828.05,753009920000,0
367110,2025,5,22,21,11,17,45.79235,15.95846,2.04,189.90,2673,99456,40559,612940,768,4095,249.27,74828.05,753009920000,0
368140,2025,5,22,21,11,18,45.79237,15.95847,2.60,189.90,2662,99452,40520,612940,2563,4095,249.27,74828.05,753009920000,0
369110,2025,5,22,21,11,19,45.79240,15.95849,2.99,189.70,2651,99448,40504,616895,2261,4095,249.27,74828.05,753009920000,0
370150,2025,5,22,21,11,20,45.79243,15.95852,3.42,189.50,2651,99448,40504,616895,3162,4095,249.27,74828.05,753009920000,0
372120,2025,5,22,21,11,22,45.79249,15.95858,4.19,189.20,2638,99448,40538,621477,3565,4095,249.27,74828.05,753009920000,0
373100,2025,5,22,21,11,23,45.79252,15.95861,4.46,189.20,2625,99448,40639,626128,3961,4095,249.27,74828.05,753009920000,0
374110,2025,5,22,21,11,24,45.79256,15.95864,4.69,189.10,2614,99450,40764,630255,7909,4095,2.44,103429.42,748618057728,0
375130,2025,5,22,21,11,25,45.79260,15.95867,4.52,189.00,2601,99446,40850,634437,5064,4095,2.44,103429.42,748618057728,0
376120,2025,5,22,21,11,26,45.79264,15.95868,3.67,188.90,2594,99452,40937,631444,7534,4095,2.44,103429.42,748618057728,0
377140,2025,5,22,21,11,27,45.79266,15.95870,2.41,188.80,2594,99452,40937,631444,17309,4095,2.44,103429.42,748618057728,0
378130,2025,5,22,21,11,28,45.79268,15.95871,1.96,188.80,2592,99450,41002,643587,7636,4095,2.44,103429.42,748618057728,0
379110,2025,5,22,21,11,29,45.79270,15.95875,2.11,188.70,2587,99462,41052,630849,671,4095,2.44,103429.42,748618057728,0
